Title,Source,PublishedAt,Description,URL,RegionSource,TaxonomyCode,RiskCategory,AffectedSupplier,ImpactedLocation,EstimatedSeverity
Seven years on: Boeing 777X Certification Delay Pushes Toward 2027,Airways Magazine,2026-05-31 13:14:10,Seven years on: Boeing 777X Certification Delay Pushes Toward 2027  Airways Magazine,https://news.google.com/rss/articles/CBMijwFBVV95cUxONFJKbXlyUEY3WlpzUmhDZnNzb3VjcE1GT0pDa3JIeDBmV2JGVHo1bTFlTmx1UFJfVzNZYU94OG5xbVBBYTRQejVtTmhWVFg2d3dNYkpwVFFreUZVck9VLVYyWjVmbXRnT1U1bjctcWZIWmZST0hKOUtqb3luWEtVeFJaeExOUDVwVWVCZ1g4OA?oc=5,United States (EN),LT,"Logistics & Transportation (Rail delays, port congestion, shipping/air cargo capacity bottlenecks)",Boeing (Direct),"Renton, WA, US",5.0
Boeing Commits US$1bn to Kansas Facility & Workforce,Procurement Magazine,2026-06-01 11:40:21,Boeing Commits US$1bn to Kansas Facility & Workforce  Procurement Magazine,https://news.google.com/rss/articles/CBMiigFBVV95cUxNbWV0QWRnV1BpU21NZFpka1d5TmMyamxCdWpKa2NNU2RFcU1aVWhLYkk2RXpVQU9lVHBORVB1YkZRdkFSVEZCOFZkdjlHdWRmYmg2dzgzcHZoWTdjLUc4YUkzS1QybFJXOG1zTFNfVzVJNTMzQmZsOHYwdllBMFFsdk5Fb2VWaG9yUkE?oc=5,United States (EN),LW,"Labor & Workforce (Strikes, union disputes, labor shortages, layoffs, negotiations)",Boeing (Direct),"Renton, WA, US",2.5
President Xi Jinping Has Promised China Will Buy 200 Boeing 737s. Here Is One More Big Reason the Stock Is a Buy in 2026.,The Motley Fool,2026-05-31 13:00:00,President Xi Jinping Has Promised China Will Buy 200 Boeing 737s. Here Is One More Big Reason the Stock Is a Buy in 2026.  The Motley Fool,https://news.google.com/rss/articles/CBMijAFBVV95cUxOTDJYLXBmVDBGU0xGdURUY2hleG9EM0hJRHh6RHEza0x5Z2p3Z3U4XzhVM2F3cHJfZEFjZU5FWUFzWHIzQTc0QlJaa0Rwem9RSG1nWHZaZlJSTDF1M2xGdkxmaGM5T1JhLThGRmdqcVRORkxKZXg2R19uTmc1T3JqTXZYS19Cem5HNWtMbA?oc=5,United States (EN),FC,"Financial & Corporate (Supplier bankruptcy, distress, mergers & acquisitions, re-verticalization)",Boeing (Direct),"Renton, WA, US",2.5
"Boeing’s 737 MAX Milestone Links Backlog, China Demand And Future Airspace",simplywall.st,2026-05-27 22:13:12,"Boeing’s 737 MAX Milestone Links Backlog, China Demand And Future Airspace  simplywall.st",https://news.google.com/rss/articles/CBMixAFBVV95cUxQTHZieWprOWc3TGt0a25jcnRBOGIyWGhRR1JHVXE4X3pXLURHbnNscWdwcGVSWkdaU2lyRGZwbjdINDFVTG81QWpsOC1QbVFoRHh6NjVCQk40VWdIdHpNeWk0bE54ckFiUHVTRDJrQktYd25RUU5IYTlpcGFtNy1WYnp3N1ZNblJfbERoMEpaYi0xVWVBMnUwOFRlSFV5RWJqZmZxVTFSYllta21WeVViZ3lGLWYtMUJRSGpkbzA4N1lWN0Fk0gHKAUFVX3lxTE5Xdng5YjNlS2ZVT1N2VWIwRVk5czF4WTZDV0JoTGxiQ25GVEFRdEhoTXhMZVNoZDhDM3I5VFVMOWF4eTQwUzROTWlLLVBLdzZkNlUwNXRodW5MS2M4VTdBVE1pSzVYSjdXeDFDemlNV2REVGtMYmZ2MWI1amVVWlJoWlpaTF83ajZyRXhHR09iaDhkeG9uN3RBWjlBMWtjYWlLcmd3Vi1ld1gtb2piOHREN0JnS1Z3VzhKanBURFZ3cnRTalBKOERkRkE?oc=5,United States (EN),MP,"Manufacturing & Production (Autoclave downtime, kiln shutdowns, factory floor capacity constraints)",Boeing (Direct),"Renton, WA, US",2.5
UPS Saw No Need for Changes After 2011 Boeing Defect Letter,Insurance Journal,2026-05-20 07:00:00,UPS Saw No Need for Changes After 2011 Boeing Defect Letter  Insurance Journal,https://news.google.com/rss/articles/CBMid0FVX3lxTE5wVTNxZmY1YmJvN09qdWxVYTNyTlJYbXZaeXB3eHlENmVDWFo3OUNENlo1VVlyczlJVVRPdDE1SmIyaVZIU2txRFZTT2FDMmo2MFNHYktwVV9pZXY5VWUxclZNNmxGTUdJOGxBN1dpS1lLUzBzYW93?oc=5,United States (EN),QS,"Quality & Safety (Supplier defects, quality escapes, airworthiness directives, recalls, inspections)",Boeing (Direct),"Renton, WA, US",5.0
Airbus And Boeing Report April 2026 Commercial Aircraft Orders and Deliveries,Forecast International,2026-05-12 07:00:00,Airbus And Boeing Report April 2026 Commercial Aircraft Orders and Deliveries  Forecast International,https://news.google.com/rss/articles/CBMizwFBVV95cUxOSV9jMTktOGxnemVYTUF0NDJKQ1pySUZzcTRQS0VLMDRGU3FHRTFEZXRBVmhtVkJMSmF6bUlkWl9hT2dmNHJwMjJNcTd1MG9iemxzeTU3cjdTeXhwaEJ1dVJWNFdldVUzcGpHTVlta19paEVjY3MzbHpkUUl3bF93ZFRaaFRrb0hjWTVfTDd4cF9ia1FCNHpSa01hZ0UyeVAwc2RZcXg1MWIyb0NST1psSFBaV2YwNFcxWHI1eS12VXpueEFJNWhhTy1HQkVmU00?oc=5,United States (EN),MS,"Material & Component Shortages (Raw material shortages, castings, fasteners, titanium/nickel delays)",Boeing (Direct),"Renton, WA, US",2.5
Boeing (BA) Anticipates Strong Backlog Extending Into Next Decade,GuruFocus,2026-05-27 16:21:35,Boeing (BA) Anticipates Strong Backlog Extending Into Next Decade  GuruFocus,https://news.google.com/rss/articles/CBMipAFBVV95cUxNUDhkbWhUeEYwRUt2c3RNX0xHUG1fblRFdm1oaHQyR0hTXzl6SXdsbE8yRHE4NFZFRU9sR3BIMm1TUzgyQmhud1I0RFFkQm43SldLbEpEWFNibkF6TF9WSWtuUmh0cDVJckRXaDBfY05LaU1FUTcyc3RKNlJIZ3loSE1JaVBLRUdpVFBTR2ljZ2k0RnZCTjFkNWlZbHFNM2x2cE9hOA?oc=5,United States (EN),MP,"Manufacturing & Production (Autoclave downtime, kiln shutdowns, factory floor capacity constraints)",Boeing (Direct),"Renton, WA, US",2.5
India and UK Aviation Alert: Air India Boeing 787 Fuel Switch Defect Raises Fresh Questions in AI 171 Crash Investigation,Travel And Tour World,2026-06-01 06:49:11,India and UK Aviation Alert: Air India Boeing 787 Fuel Switch Defect Raises Fresh Questions in AI 171 Crash Investigation  Travel And Tour World,https://news.google.com/rss/articles/CBMibkFVX3lxTFB3NFBwaDR6LU0xRFYwbTRuZG5ZNm56UUJhcm5EMVhCdUtHdXROMzdnM21iV2RldWRDNG1ObTBWSTlOd1lTMG1IN3VhV3k3ZkE4a0hUZDFBeXFfR3kzRVA3eTJZQ0VTalZGVGJ3c2RR?oc=5,United States (EN),QS,"Quality & Safety (Supplier defects, quality escapes, airworthiness directives, recalls, inspections)",Boeing (Direct),"Renton, WA, US",5.0
NTSB Says UPS Didn’t Act After 2011 Boeing Letter on Defect,Bloomberg.com,2026-05-19 07:00:00,NTSB Says UPS Didn’t Act After 2011 Boeing Letter on Defect  Bloomberg.com,https://news.google.com/rss/articles/CBMirwFBVV95cUxNaEF0bURLMXlPWGFLUDVrTDItS1J4MzFVcjI5WGFvZGF0ZTBlakVIRVBJWEtEdS02eFViUU9ZT0huSzdTZUpKUlZSbVdac19hZkhhY0JfekxrNU1HT3J2Mko4OENFd3FDRExoWFlPX3Q3YjZ6STZpN1VvZG03MGRvcHpHLTd5MVFRLTdxRFVsMFVHVnFQN2E1NWdxZG8yOEFSVDFJaFR0NXpDMlFVN0pv?oc=5,United States (EN),QS,"Quality & Safety (Supplier defects, quality escapes, airworthiness directives, recalls, inspections)",Boeing (Direct),"Renton, WA, US",5.0
"Boeing backlog tops 6,200 jets after April sales surge",FlightGlobal,2026-05-12 07:00:00,"Boeing backlog tops 6,200 jets after April sales surge  FlightGlobal",https://news.google.com/rss/articles/CBMiowFBVV95cUxOZkxXTm1sRVpDcjFpOUJ3ZXA1WGZGLWwwUjR5UWhoQXFLM0ZFRERZUU4wNVV3cTFIUWw3bXlYcXNXNkw3bDJGdHJVUFFESE0zRE1BRWhPdURwUVNpUFNaZ0luNE9WVkNmcDdmMmhTOGhGSVBaWFl1cHFJZ19NLV9YQUZTamN6dzYyNnc1R0hOcUxNYnRZU3N3R3E1bTBWT0hZdzVz?oc=5,United States (EN),MP,"Manufacturing & Production (Autoclave downtime, kiln shutdowns, factory floor capacity constraints)",Boeing (Direct),"Renton, WA, US",2.5
